Date,Cloud coverage,Visibility,Temperature,Dew point,Relative humidity,Wind speed,Station pressure,Altimeter,Solar energy
2/1/2016,0.1,9.45,3.11,0.32,79.46,4.7,29.23,30.02,20256
2/2/2016,0.8,3.94,6.99,6.22,93.6,13.29,28.91,29.7,1761
2/3/2016,0.87,8.7,1.62,0.02,85,16.73,29.03,29.82,2775
2/4/2016,0.37,10,-2.47,-5.89,74.52,9.46,29.46,30.26,28695
2/5/2016,0.52,9.21,-2,-4.15,82.03,5.92,29.55,30.35,9517
2/6/2016,0.13,8.12,0.91,-1.62,81.03,5.48,29.44,30.24,26973
2/7/2016,0.21,10,4.24,0.54,73.8,12.71,29.09,29.88,22365
2/8/2016,0.87,7.84,-3.33,-5.05,83.53,14.46,28.96,29.75,4995
2/9/2016,1,6.01,-7.8,-10.39,78.34,17.27,29.1,29.89,6641
2/10/2016,0.25,10,-9.72,-13.98,67.7,10.3,29.29,30.08,20758
2/11/2016,0.34,10,-7.64,-13.73,60.36,3.85,29.48,30.28,30910
2/12/2016,0.62,9.21,-5.78,-10,69.76,12.42,29.46,30.26,8105
2/13/2016,0.08,10,-10.12,-17.77,52.32,7.44,29.73,30.54,30358
2/14/2016,1,6.37,-7.29,-9.99,78.47,13.79,29.38,30.18,5814
2/15/2016,0.94,3.86,-2.42,-2.68,94.02,6.43,29.09,29.88,7570
2/16/2016,0.77,6.99,-1.29,-2.92,87.57,4.93,29.08,29.87,27097
2/17/2016,0.82,8.1,0.1,-2.43,82.52,5.6,29.44,30.24,7571
2/18/2016,0.42,7.96,3.44,0.32,78.58,15.08,29.41,30.21,19145
2/19/2016,0.04,10,10.03,4.24,65.97,17.97,29.04,29.82,20459
2/20/2016,0.04,10,10.54,2.92,56.86,10.75,29.15,29.94,30380
2/21/2016,0.6,10,4.86,1.64,78.61,10.27,29.29,30.08,27170
2/22/2016,0.3,10,3.02,-0.82,74.53,7.42,29.34,30.13,26656
2/23/2016,0.07,10,3.85,-1.32,69.81,13.39,29.19,29.98,26058
2/24/2016,1,4.44,0.98,-0.49,86.9,24.83,28.78,29.56,1468
2/25/2016,0.88,9.7,1.29,-1.71,77.66,13.36,29.2,30,14633
2/26/2016,0.56,10,-0.71,-3.64,76.76,8.22,29.22,30.24,16864
2/27/2016,0,9.48,4.25,0.7,75.45,10.82,29.21,30,32570
2/28/2016,0.28,9.99,10.59,5.47,63.23,21.01,26.93,29.69,25887
2/29/2016,0.19,10,6.68,1.49,52.65,12.14,21.42,29.95,31868
3/1/2016,0.8,9.38,1.19,-1.66,80.88,14.03,29.07,29.86,4046
3/2/2016,0.49,9.53,-1.43,-7.64,62.9,7.69,29.35,30.14,30943
3/3/2016,0.99,5.36,1.38,0.08,92.85,9.17,29.22,30.01,2916
3/4/2016,0.41,9.97,1.05,-2.63,76.56,5.96,29.36,30.16,30271
3/5/2016,1,7.42,3.88,1.3,80.86,9.46,29.34,30.14,9662
3/6/2016,0.3,9.08,6.55,2.27,72.02,12.98,29.34,30.13,28622
3/7/2016,0.75,9.81,11.55,7.68,76.49,11.57,29.14,29.93,8605
3/8/2016,0.47,10,16.13,11.75,73.06,13.53,29.15,29.94,23194
3/9/2016,0.92,8.32,16.23,13.82,83.36,10.22,29.15,29.94,7561
3/10/2016,0.43,9.32,9.07,7.34,67.12,8.48,22.73,30.09,6044
3/11/2016,0,8.94,8.02,5.16,80.66,7.09,29.5,30.3,26187
3/12/2016,0.72,5.94,11,8.93,87.3,6.99,29.28,30.07,8354
3/13/2016,1,5.84,14.04,13.66,96.34,7.19,28.95,29.74,6894
3/14/2016,0.97,5.4,12.41,12.25,94.41,3.87,28.93,29.72,7270
3/15/2016,0.56,7.16,15.69,12.9,82.21,13.93,28.83,29.62,29735
3/16/2016,0.35,9.9,11.34,3.08,58.68,19.38,28.99,29.78,33236
3/17/2016,0.29,10,9.18,-0.5,51.56,10.83,29.14,29.93,32029
3/18/2016,0.44,10,6.33,-1.25,57.39,7.77,29.28,30.08,26080
3/19/2016,0.88,9.99,5.12,0.29,69.64,7.42,29.34,30.13,13522
3/20/2016,0.71,10,4.14,-2.25,62.66,10.41,29.37,30.16,22677
3/21/2016,0.07,9.96,5.17,-1.98,60.84,9.22,29.34,30.13,34654
3/22/2016,0,9.92,12.43,3.27,53.06,16.94,29.01,29.8,29736
3/23/2016,0.57,10,15.66,10.13,68.05,16.45,28.96,29.75,18714
3/24/2016,0.94,8.84,9.76,7.61,84.41,16.83,28.86,29.64,9741
3/25/2016,0.63,10,3.07,-0.31,75.98,6.35,29.27,30.06,27801
3/26/2016,0.04,9.33,8.02,2.83,69.63,8.22,29.31,30.1,36515
3/27/2016,0.45,9.25,9.49,4.85,73.05,11.64,29.14,29.93,19152
3/28/2016,0.59,10,7.33,3.34,74.72,9.01,29.31,30.12,26108
3/29/2016,0,9.57,8.12,1.11,62.76,6.75,29.44,30.24,37038
3/30/2016,0.66,9,11.05,7.77,73.72,14.46,27.17,29.83,6266
3/31/2016,0.5,9.75,14.64,12.2,55.95,17.11,18.78,29.5,18860
4/1/2016,0.77,9.85,7.09,4.12,79.55,11.52,29,29.79,19151
4/2/2016,0.35,10,3.56,-3.32,61.2,20.08,29.06,29.85,31243
4/3/2016,0.1,10,9.85,1.48,56.58,16.91,29.1,29.89,37546
4/4/2016,0.73,10,4.81,-0.33,70.16,13.79,29.34,30.14,22913
4/5/2016,0.13,10,4.53,-3.1,57.58,11.86,29.48,30.28,36095
4/6/2016,0.8,8.41,8.93,5.4,78.5,15.18,28.88,29.66,3409
4/7/2016,0.85,9.94,4.82,1,75.46,14.1,28.97,29.76,19602
4/8/2016,0.82,9.57,3.62,0.26,78.27,16.09,29.11,29.9,13310
4/9/2016,0.2,10,0.97,-6.31,58.68,9.55,29.4,30.19,39413
4/10/2016,0.9,7.7,7.61,4.9,82.5,13.58,29.09,29.88,3764
4/11/2016,0.36,7.95,8.01,3.45,70.64,11.3,28.62,29.98,21961
4/12/2016,0,9.96,5.66,-2,57.98,6.92,28.64,30.31,38978
4/13/2016,0,10,8.91,0.63,58.23,7.89,29.46,30.26,31883
4/14/2016,0,10,12.2,1.77,52.9,10.41,29.39,30.19,26024
4/15/2016,0,10,16,4.59,48.43,9.18,29.37,30.17,31522
4/16/2016,0.13,9.99,18.57,7.21,48.57,5.85,29.45,30.26,32742
4/17/2016,0,10,19.31,5.56,43.15,4.74,29.54,30.34,37976
4/18/2016,0.01,9.8,19.81,6.43,43.02,4.07,29.46,30.26,34518
4/19/2016,0,10,19.45,7.82,47.84,5.72,29.35,30.14,19283
4/20/2016,0.76,9.31,16.2,11.64,74.05,9.9,29.23,30.02,14632
4/21/2016,0.71,7.74,15.84,13.68,84.73,5.14,29.06,29.85,18199
4/22/2016,0.46,8.69,12.68,9.57,81.25,9.9,29.21,30.01,34696
4/23/2016,0.18,9.9,12.14,6.82,68.23,5.91,29.32,30.11,30854
4/24/2016,0.22,7.5,17.17,10.37,65.19,10.07,29.15,29.94,35230
4/25/2016,0.43,10,22.03,13.31,56.68,13.71,28.97,29.76,28496
4/26/2016,0.4,9.24,18.02,13,72.13,10.83,28.99,29.79,11678
4/27/2016,0.97,5.28,13.74,11.61,87.52,14.72,28.98,29.78,6866
4/28/2016,0.8,7.48,14.74,12.28,85.99,5.99,29.07,29.86,14840
4/29/2016,0.57,6.4,11.46,8.9,79.15,6.66,27.32,30.06,17818
4/30/2016,0.86,3.06,12.86,12.22,88.28,10.17,26.91,29.88,3219
5/1/2016,0.97,4.35,13.41,12.31,93.86,7.49,29.13,29.92,15317
5/2/2016,0.83,8.47,10.64,8.38,83.45,8.42,29.22,30.01,12265
5/3/2016,0.63,9.99,13.18,6.65,63.51,8.77,29.12,29.91,27296
5/4/2016,0.86,9.9,11.38,6.78,72.07,12.78,28.98,29.77,22774
5/5/2016,0.34,10,11.85,5.69,64.78,10.47,29.16,29.95,22714
5/6/2016,0.13,9.99,17.07,6.8,51.52,8.27,29.15,29.94,32611
5/7/2016,0.41,10,17.89,8.8,56.48,11.13,29.03,29.82,19299
5/8/2016,0.72,9.47,13.56,9.28,75.49,5.86,29.15,29.94,13263
5/9/2016,0.99,7.43,15.75,14.36,91.21,11.92,29.1,29.9,9646
5/10/2016,0.8,9.08,18.43,16.83,87.44,9.72,29.09,29.88,15132
5/11/2016,0.71,6.45,18.58,16.86,88.16,7.47,29.2,29.99,22130
5/12/2016,0.47,9.32,16.98,14.02,79.39,11.28,29.2,29.99,11035
5/13/2016,0.32,9.63,14.82,9.57,71.09,11.18,29.2,29.99,32097
5/14/2016,0.81,10,7.85,2.86,68.83,15.83,29.25,30.04,22309
5/15/2016,0.17,10,9.56,0.88,56.3,9.2,29.35,30.15,38508
5/16/2016,0.44,9.96,12.65,4.45,56.57,7.6,29.38,30.18,25818
5/17/2016,0.94,9.99,12.06,8.45,75.51,6.82,29.39,30.19,12923
5/18/2016,0.39,10,13.68,5.56,57.1,6.56,29.39,30.19,28780
5/19/2016,0.08,10,16.39,5.07,48.75,5.41,29.37,30.16,37157
5/20/2016,0.54,9.96,15.87,7.05,53.57,8.71,29.3,30.09,12332
5/21/2016,0.28,10,18.14,5.6,44.7,8.59,29.29,30.08,34548
5/22/2016,0.04,10,20.3,6.04,41.79,7.88,29.26,30.05,34855
5/23/2016,0,10,20.78,6.85,41.77,6.29,29.2,29.99,35004
5/24/2016,0.17,10,22.71,11.86,49.43,10.08,29.22,30.01,33236
5/25/2016,0.15,9.99,23.59,16.68,65.76,10.99,28.98,29.99,28642
5/26/2016,0.44,9.11,22,19.44,82.73,9.44,29.15,29.94,19633
5/27/2016,0.52,9.66,21.92,19.21,81.61,12.14,29.12,29.91,20148
5/28/2016,0.35,10,23.19,19.29,76.5,14.17,29.17,29.96,22141
5/29/2016,0.22,9.95,23.45,15.97,63.5,8.45,29.26,30.05,31871
5/30/2016,0.13,9.94,23.42,14,55.22,4.21,27.1,30.02,28506
5/31/2016,0.26,9.87,22.63,16.49,49.29,6.23,22.37,29.97,20576
6/1/2016,0.63,9.67,22.27,19.43,80.97,3.32,29.17,29.96,18553
6/2/2016,0,10,22.46,12.51,53.16,5.88,29.25,30.04,32663
6/3/2016,0.14,10,22.53,11.63,48.44,3.01,29.25,30.04,28284
6/4/2016,0.67,8.75,19.72,18.13,87.55,6.41,29.05,29.84,8273
6/5/2016,0.35,10,20.79,15.21,68.98,11.61,28.96,29.75,28213
6/6/2016,0.22,10,22.82,10.62,47.89,12.81,28.94,29.73,37255
6/7/2016,0.23,10,18.7,9.25,53.13,10.72,29.07,29.86,35506
6/8/2016,0,10,18.82,8.65,53.39,3.63,29.21,30,37020
6/9/2016,0.25,10,23.32,13.73,53.59,7.75,29.21,30,29142
6/10/2016,0.14,10,27.49,18.88,58,9.51,29.21,30,34062
6/11/2016,0.21,10,27.68,19.41,59.4,9.76,29.22,30.01,32494
6/12/2016,0.16,10,25.42,13.31,48.31,8.62,29.28,30.07,32316
6/13/2016,0.14,10,25.03,14.03,49.83,4.36,28.76,29.97,33323
6/14/2016,0.38,9.28,24.94,21.9,82.75,8.2,28.85,29.85,27921
6/15/2016,0.28,8.83,26.82,22.67,78.98,7.97,29,29.79,32508
6/16/2016,0.36,9.99,24.18,19.12,72.4,10.58,29.07,29.86,37113
6/17/2016,0.06,9.58,23.09,14.66,58.31,9.56,29.24,30.03,36626
6/18/2016,0.11,10,23.95,13.91,50.92,6.3,28.81,30.19,36122
6/19/2016,0.26,9.9,25.87,20.08,67.81,5.28,29.41,30.21,31689
6/20/2016,0.38,9.78,27.22,21.47,68.99,11.21,28.89,30.11,32434
6/21/2016,0.08,9.98,23.59,16.83,63.57,7.89,29.22,30.01,37319
6/22/2016,0.61,9.05,23.91,21.44,85.09,10.19,29.11,29.9,16855
6/23/2016,0.21,10,26.17,20.99,71.54,9.11,29.09,29.88,34494
6/24/2016,0.24,9.42,23.14,18.69,73.38,3.95,28.97,30.05,28709
6/25/2016,0.12,9.89,26.23,21.73,74.77,6.1,29.28,30.07,35055
6/26/2016,0.27,9.76,25.67,23.16,83.83,4.69,29.24,30.04,23801
6/27/2016,0.01,9.77,24.97,17.94,64.13,7.94,29.28,30.08,35454
6/28/2016,0.3,10,20.41,14.91,68.95,7.8,29.33,30.12,29679
6/29/2016,0,10,18.3,11,60.47,4.15,27.31,30.12,38446
6/30/2016,0.11,10,20.86,15.31,51.63,4.99,21.48,30,30098
7/1/2016,0.43,9.72,20.87,15.36,70.19,8.27,29.27,30.06,34032
7/2/2016,0.25,10,16.33,12.95,77.01,2.96,29.35,30.15,12168
7/3/2016,0.98,6.79,17.26,16.68,94.6,7.21,29.23,30.03,5395
7/4/2016,0.94,5.9,21.01,19.93,91.71,2.95,29.1,29.89,12426
7/5/2016,0.67,8.11,24.41,21.02,80.38,4.66,28.76,29.92,29445
7/6/2016,0.23,8.71,23.16,20.78,84.94,6.59,29.09,29.88,19052
7/7/2016,0.41,7.99,23.29,21.43,86.75,7.39,29.05,29.85,24834
7/8/2016,0.15,9.88,24.07,20.17,77.65,7.31,29.1,29.89,33872
7/9/2016,0.18,10,21.79,17.39,73.93,6.12,29.25,30.04,34424
7/10/2016,0,9.99,21.98,16.48,70.33,3.8,29.26,30.05,36918
7/11/2016,0.16,9.86,24.81,20.48,77.18,8.5,29.19,29.98,32295
7/12/2016,0.28,8.31,25.1,21.75,82.03,7.63,29.12,29.91,27092
7/13/2016,0.48,7.88,23.55,21.33,88.41,7.83,29.13,29.92,19714
7/14/2016,0.11,10,23.77,19.54,77.35,7.54,29.15,29.94,32485
7/15/2016,0.12,9.99,22.2,18.46,76.93,7.57,29.24,30.03,36645
7/16/2016,0.11,10,21.18,16.32,72.06,4.07,29.33,30.12,35804
7/17/2016,0.13,9.7,23.6,21.59,86.81,8.76,29.28,30.07,22581
7/18/2016,0.31,9.35,24.73,21.61,83.02,4.97,29.36,30.16,21662
7/19/2016,0.56,7.25,25.22,22.24,81.77,2.87,29.41,30.22,24809
7/20/2016,0.2,9.45,25.3,21.93,80.34,3.55,29.38,30.18,31376
7/21/2016,0.18,7.88,27.35,25.02,85.41,7,29.28,30.09,25157
7/22/2016,0.08,9.72,24.96,21.8,80.96,6.06,29.22,30.04,28907
7/23/2016,0.09,8.58,26.49,23.86,82.93,3.54,29.18,29.99,28845
7/24/2016,0.18,6.63,26.85,24.31,85.34,8.08,29.16,29.97,29696
7/25/2016,0.25,9.53,24.26,21.9,83.18,4.92,29.2,30.01,20909
7/26/2016,0.36,10,24.07,20.15,75.27,5.06,29.23,30.04,26875
7/27/2016,0.06,9.58,23.84,20.51,79.06,3.86,29.18,29.99,31097
7/28/2016,0.34,8.7,23.39,21.31,84.92,3.78,29.09,29.9,22214
7/29/2016,0.44,7.53,22.54,20.48,84.53,4.97,29.11,29.92,27284
7/30/2016,0.34,8.85,21.58,19.42,85.03,5.43,29.15,29.97,29089
7/31/2016,0.15,8.6,22.56,19.64,72.03,4.45,26.72,30.03,24400
8/1/2016,0.13,8.29,23.33,20.47,81.64,5.53,29.24,30.06,26117
8/2/2016,0.22,9.36,23.8,21.13,80.3,2.83,29.26,30.07,24646
8/3/2016,0.12,8.84,25.03,21.91,78.13,4.38,29.24,30.04,29016
8/4/2016,0.09,9.28,25.34,22.05,76.96,2.73,29.17,29.97,26909
8/5/2016,0.32,9.48,24.38,22.12,83.66,5.33,29.13,29.92,23463
8/6/2016,0.18,10,22.34,18.14,70.91,6.53,29.19,29.99,29127
8/7/2016,0.16,10,21.68,16.35,67.06,6.52,29.23,30.03,30312
8/8/2016,0.15,10,23.14,19.45,75.03,4.26,29.21,30,27994
8/9/2016,0.33,10,24.23,19.46,71.63,2.19,29.21,30.01,28753
8/10/2016,0.13,9.11,25.55,21.78,75.2,3.01,29.27,30.07,30561
8/11/2016,0.22,7.66,27.06,24.47,83.21,6.76,29.19,29.98,29647
8/12/2016,0.37,8.64,26.44,24.66,87.58,7.4,29.06,29.86,21130
8/13/2016,0.76,8.61,23.66,22.54,89.18,7.05,29.1,29.89,17072
8/14/2016,0.22,9.69,21.74,20.89,89.16,2.89,29.27,30.06,13002
8/15/2016,0.99,6.24,22.4,22.25,96.56,8.27,29.21,30,4072
8/16/2016,0.61,8.15,23.92,22.35,89.11,5.29,29.28,30.08,22241
8/17/2016,0.62,5.64,23.92,22.61,89.2,4,29.31,30.11,25074
8/18/2016,0.33,7.88,24.29,21.86,85.56,5.53,29.26,30.05,27377
8/19/2016,0.41,7.35,23.9,22.32,87.97,5.72,29.14,29.93,21707
8/20/2016,0.52,8.58,22.71,21.05,88.31,9.25,28.96,29.74,20057
8/21/2016,0.17,9.99,18.7,15.6,79.44,7.07,29.2,29.99,34230
8/22/2016,0.14,10,19.19,15.52,76.36,2.32,29.38,30.18,34762
8/23/2016,0.34,10,21.12,17.78,79.63,5.9,29.39,30.19,29378
8/24/2016,0.5,8.89,24.99,22.86,87.79,8.12,29.23,30.03,18564
8/25/2016,0.34,9.68,24.69,22.44,85.44,6.04,29.27,30.06,30676
8/26/2016,0.47,8.62,23.86,22.17,87.7,4.18,29.32,30.11,23835
8/27/2016,0.52,9.95,24.95,22.93,85.51,4.38,29.29,30.08,26148
8/28/2016,0.23,9.67,25.35,22.98,84.55,2.93,29.37,30.17,26149
8/29/2016,0.03,9.46,25.51,22.76,81.85,2.56,29.39,30.19,30348
8/30/2016,0.09,8.05,24.04,22.74,82.17,3.8,27.3,30.11,22026
8/31/2016,0.18,8.72,22.63,19.66,60.76,7.16,21.48,30.05,20706
9/1/2016,0.18,10,19.25,14.45,71.82,10.72,29.35,30.14,31504
9/2/2016,0.09,10,18.7,14.21,72.31,8.05,29.11,30.2,32931
9/3/2016,0.13,10,19.37,14.81,73.32,5.84,29.38,30.17,30192
9/4/2016,0.01,10,20.99,15.94,74.47,5.33,29.36,30.16,29865
9/5/2016,0.36,9.99,25.07,21.48,80.36,6.41,29.32,30.12,27026
9/6/2016,0.18,9.35,26.81,23.44,79.64,7.79,29.31,30.1,26341
9/7/2016,0.27,9.98,27.21,23.63,78.08,8.52,29.24,30.03,25049
9/8/2016,0.56,7.54,23.49,22.91,94.38,5.46,29.14,29.93,8637
9/9/2016,0.93,4.91,21.76,21.25,95.18,4.04,29.14,29.93,8348
9/10/2016,0.52,7.82,19.79,16.71,80.69,8.41,29.18,29.98,23804
9/11/2016,0.03,10,17.69,12.2,70.28,2.26,29.38,30.18,33934
9/12/2016,0,10,19.03,13.88,72.43,4.29,29.31,30.11,33640
9/13/2016,0.21,10,22.17,17.82,75.97,3.8,29.3,30.09,26532
9/14/2016,0.52,8.67,21.9,19.07,82.54,6.83,29.39,30.19,21074
9/15/2016,0.39,8.27,22.23,18.57,79.96,5.66,29.36,30.15,22952
9/16/2016,0.49,9.02,21.93,20.61,89.81,6.83,29.22,30.01,11245
9/17/2016,0.5,8.53,22.14,18.5,78.92,5.4,29.17,29.96,26135
9/18/2016,0.12,9.72,21.23,14.62,67.32,2.8,29.2,29.99,30307
9/19/2016,0,10,21.45,14.17,65.31,4,29.27,30.06,33103
9/20/2016,0.15,10,23.92,18.64,71.69,2.38,29.33,30.13,27701
9/21/2016,0.07,8.99,23.42,17.66,70.67,3.11,29.35,30.14,28154
9/22/2016,0,9.99,23.58,16.22,64.76,3.53,29.26,30.05,27424
9/23/2016,0.01,8.89,24.35,18.86,72.04,4.28,29.27,30.07,28642
9/24/2016,0.5,4.59,23.97,19.96,77.53,6.43,29.32,30.11,26180
9/25/2016,0.36,7.85,23.81,19.08,75.68,6.79,29.24,30.03,21348
9/26/2016,0.15,9.93,16.71,7.07,57.1,9.86,29.25,30.04,31228
9/27/2016,0.02,9.96,16.69,5.27,49.15,8.93,29.07,29.86,33487
9/28/2016,0.85,10,13.85,9.98,75.95,9.77,29.12,29.91,17006
9/29/2016,0.72,9.8,16.51,14.18,79.55,10.69,27.58,30.11,17982
9/30/2016,0.67,8.58,16.92,16.02,67.9,10.2,22.19,30.05,7162
10/1/2016,0.88,7.56,16.6,14.98,89.52,4.07,29.21,30,16084
10/2/2016,0.78,8.56,16.52,13.63,81.27,3.65,29.28,30.07,15527
10/3/2016,0.78,9.04,17.13,13.18,78.51,2.23,29.29,30.08,16590
10/4/2016,0.34,9.96,19.61,14.2,71.02,7.28,29.23,30.02,31462
10/5/2016,0.35,9.99,21.43,16.52,72.37,8.47,29.21,30,22642
10/6/2016,0.36,9.31,22.34,17.43,73.58,4.8,29.28,30.07,17674
10/7/2016,0.13,9.8,15.77,11.19,70.88,9.41,29.33,30.13,22751
10/8/2016,0,10,12.07,4.89,59.21,4.84,29.48,30.28,32386
10/9/2016,0.01,10,14.83,7.39,60.75,4.94,29.51,30.31,29969
10/10/2016,0.01,8.38,15.89,8.7,62.53,2.24,29.49,30.29,26312
10/11/2016,0.21,8.23,17.74,9.86,61.76,6.51,29.37,30.16,23093
10/12/2016,0.81,8.89,15.57,13.62,86.06,11.13,29.28,30.07,9905
10/13/2016,0.19,9.8,9.42,4.41,69.4,3.95,29.49,30.29,32558
10/14/2016,0.02,9.65,12.53,7.32,71.23,5.78,29.41,30.21,28965
10/15/2016,0.63,7.49,18.98,16.25,83.52,10.66,29.25,30.04,11314
10/16/2016,0.6,9.74,19.91,18.12,85.89,9.4,29.13,29.92,6014
10/17/2016,0.19,9.96,23.64,18.25,70.21,17.18,28.92,29.7,26013
10/18/2016,0.41,10,21.6,16.7,69.82,11.9,29,29.78,9249
10/19/2016,0.58,9.48,15.53,12.06,75.97,6.59,28.98,30.06,8060
10/20/2016,0.98,9.47,12.7,11.08,86.67,9.75,29.3,30.09,6859
10/21/2016,0.4,10,7.73,3.42,70.28,8.89,29.06,30.15,19900
10/22/2016,0.14,10,8.35,3.58,69.32,6.02,29.3,30.1,28926
10/23/2016,0.03,9.75,14.45,9.02,65.98,10.22,29.23,30.03,27937
10/24/2016,0,9.92,10.53,5.44,68.87,7.67,29.53,30.33,25668
10/25/2016,0.59,9.92,10.12,5.08,72.95,8.19,29.56,30.36,11539
10/26/2016,0.84,8.96,13.16,11.01,86.22,10.87,29.31,30.1,6363
10/27/2016,0.99,9.87,9.51,7.8,86.46,7.68,29.42,30.22,4090
10/28/2016,0.05,8.69,13.19,11.15,84.47,11.16,29.36,30.15,21889
10/29/2016,0.08,10,20.67,15.55,70.42,13.79,29.19,29.98,20111
10/30/2016,0.44,9.83,13.91,10.43,71.89,10.78,27.29,30.11,16663
10/31/2016,0.01,10,13.13,10.67,61.18,8.86,21.8,30.04,18050
11/1/2016,0,9.43,19.78,14.83,72.04,9.72,29.19,29.98,19233
11/2/2016,0.57,9.44,18.99,16.1,83.53,6.43,29.32,30.12,10862
11/3/2016,0.55,7.53,15.14,13.75,87.44,7.52,29.13,30.22,15279
11/4/2016,0.01,9.5,10.45,7.05,76.75,4.44,29.31,30.4,26916
11/5/2016,0,9.84,10.33,7.19,76.05,3.27,29.28,30.37,20675
11/6/2016,0.01,9.68,11.14,7.08,74.67,2.61,29.54,30.34,25116
11/7/2016,0.12,10,12,7.73,73.06,2.37,29.49,30.29,21845
11/8/2016,0.68,8.59,11.38,10.11,88.28,6.55,29.42,30.22,2516
11/9/2016,0.08,9.93,7.15,4.51,78.98,6.46,29.51,30.31,24367
11/10/2016,0,10,8.53,4.67,72.21,11,29.35,30.14,25838
11/11/2016,0.09,10,7.83,3.83,72.06,12.44,29.46,30.26,15219
11/12/2016,0.01,9.88,3.87,0.07,74.03,2.29,29.6,30.4,25110
11/13/2016,0,10,4.44,-0.22,68.02,6.12,29.39,30.18,25474
11/14/2016,0.08,9.94,8.92,4.93,73.05,6.79,29.16,29.95,20376
11/15/2016,0.09,7.75,7.68,5.8,82.52,5.45,29.12,29.91,22628
11/16/2016,0.07,7.75,8.94,5.99,79.89,2.16,29.14,29.93,22240
11/17/2016,0.01,9.77,15.07,9.66,70.57,11.86,29.07,29.86,17284
11/18/2016,0.62,9.59,12.62,8.5,73.69,16.88,29.11,29.9,6834
11/19/2016,0.67,10,1.68,-2.56,71.68,19.14,29.43,30.23,7811
11/20/2016,0,10,-1.75,-5.53,73.12,5.93,29.52,30.32,24367
11/21/2016,0,10,-0.25,-4.38,72.65,2.14,29.49,30.29,23094
11/22/2016,0.39,9.66,4,-0.08,74.28,10.68,29.43,30.23,15725
11/23/2016,0.99,4.25,6.62,6.27,94.99,10.39,29.2,29.99,1028
11/24/2016,1,8.35,4.3,2.84,87.36,8.17,29.41,30.2,1689
11/25/2016,0.99,8.34,4.41,2.44,84.55,5.96,29.54,30.34,4682
11/26/2016,0.37,8.38,4.4,3.22,87.09,7.57,29.5,30.3,15544
11/27/2016,0.76,5.17,3.87,3.14,91.84,12.1,29.2,29.99,4159
11/28/2016,0.96,7.75,8.67,7.97,92.37,20.82,28.69,29.48,770
11/29/2016,0.11,10,9.66,8.29,81.1,12.05,26.81,29.56,16258
11/30/2016,0.21,9.88,3.18,0.92,59.55,10.32,21.27,29.69,13058
12/1/2016,0.99,10,2.93,0.04,79.06,12.09,29.16,29.95,4527
12/2/2016,1,9.92,3.4,1.01,81.99,7.95,29.43,30.22,4409
12/3/2016,0.69,9.96,1.23,-1.4,80.07,5.95,29.53,30.33,8894
12/4/2016,0.99,5.45,0.7,0.28,94.05,6.88,29.23,30.02,1347
12/5/2016,0.61,8.67,1.33,0.68,93.75,7.8,29.2,29.99,2407
12/6/2016,0.37,6.55,1.49,0.22,55.79,10.09,18.06,29.87,4263
12/7/2016,0.18,9.96,-1.09,-4.71,21.89,10.85,8.59,30.16,13350
12/8/2016,0.05,9.72,-5.7,-9.01,21.98,16.87,8.64,30.38,5835
12/9/2016,0.08,9.81,-4.63,-8.23,22.22,8.9,8.84,30.54,7768
12/10/2016,0.05,8.32,-3.68,-6.78,22.53,7.78,8.82,30.45,6329
12/11/2016,0.07,7.2,0.93,-0.91,24.02,11.36,9.12,29.94,1066
12/12/2016,0.11,9.28,-2.16,-4.05,22.91,9.59,8.82,30.07,12981
12/13/2016,0.08,8.23,-5.83,-8.83,35.93,8.33,14.88,30.19,716
